data_pl,data_utc,instrument,strona,strategia,score,entry,sl,tp1,tp2,tp3,swieca,powody,tv,spot_delta
30.07.2026 09:34,2026-07-30T07:34:09.141252+00:00,XAUUSD (zloto),LONG,Silver Bullet,3,4107.10009765625,4083.7572021484375,4153.785888671875,4177.1287841796875,4200.4716796875,2026-07-30T03:15:00-04:00,killzone; swiezy FVG byczy; trend up,SELL (4/13/9),-62.79000
30.07.2026 10:10,2026-07-30T08:10:08.954284+00:00,XAGUSD (srebro),SHORT,Silver Bullet,3,57.16999816894531,57.83624921526228,55.83749607631138,55.17124502999442,54.50499398367745,2026-07-30T03:55:00-04:00,killzone; swiezy FVG nizdwiedzi; trend down,BUY (12/5/9),0.15020
03.08.2026 10:10,2026-08-03T08:10:38.457558+00:00,XAUUSD (zloto),LONG,Silver Bullet,3,4117.10009765625,4105.3533935546875,4140.593505859375,4152.3402099609375,4164.0869140625,2026-08-03T03:55:00-04:00,killzone; swiezy FVG byczy; trend up,SELL (2/15/9),-56.65480
04.08.2026 09:26,2026-08-04T07:26:44.266866+00:00,HK50 (Hang Seng),LONG,Silver Bullet,3,25874.73046875,25756.114815848214,26111.961774553572,26230.57742745536,26349.193080357145,2026-08-04T15:05:00+08:00,killzone; swiezy FVG byczy; trend up,NEUTRAL (7/9/9),-34.59961
05.08.2026 10:19,2026-08-05T08:19:01.994642+00:00,XAUUSD (zloto),LONG,Silver Bullet,3,4229.60009765625,4218.653459821428,4251.493373325893,4262.440011160715,4273.386648995536,2026-08-05T04:00:00-04:00,killzone; swiezy FVG byczy; trend up,NEUTRAL (9/8/9),-61.40510
07.08.2026 20:50,2026-08-07T18:50:39.583262+00:00,XAUUSD (zloto),LONG,Silver Bullet,3,4397.0,4386.914289202009,4417.171421595982,4427.257132393973,4437.342843191964,2026-08-07T14:35:00-04:00,killzone; swiezy FVG byczy; trend up,NEUTRAL (9/8/9),-59.67510
11.08.2026 02:45,2026-08-11T00:45:25.349408+00:00,XAGUSD (srebro),LONG,Silver Bullet,3,66.36499786376953,65.83981840951103,67.41535677228654,67.94053622654505,68.46571568080356,2026-08-10T20:25:00-04:00,killzone; swiezy FVG byczy; trend up,NEUTRAL (10/7/9),-0.29950
12.08.2026 02:53,2026-08-12T00:53:27.067571+00:00,XAGUSD (srebro),LONG,Silver Bullet,3,65.15499877929688,64.84838976178851,65.7682168143136,66.07482583182197,66.38143484933033,2026-08-11T20:30:00-04:00,killzone; swiezy FVG byczy; trend up,SELL (5/11/10),-0.25100
12.08.2026 20:30,2026-08-12T18:30:40.457037+00:00,XAUUSD (zloto),LONG,Silver Bullet,3,4468.2001953125,4453.782017299107,4497.036551339286,4511.454729352679,4525.8729073660725,2026-08-12T14:15:00-04:00,killzone; swiezy FVG byczy; trend up,NEUTRAL (10/7/9),-58.54480
13.08.2026 20:17,2026-08-13T18:17:14.085888+00:00,XAGUSD (srebro),SHORT,Silver Bullet,3,64.83999633789062,65.1919607434954,64.13606752668107,63.7841031210763,63.432138715471524,2026-08-13T14:00:00-04:00,killzone; swiezy FVG nizdwiedzi; trend down,BUY (12/4/10),
19.08.2026 20:22,2026-08-19T18:22:55.110387+00:00,XAGUSD (srebro),LONG,Silver Bullet,3,65.92500305175781,65.64392798287528,66.48715318952287,66.7682282584054,67.04930332728793,2026-08-19T14:05:00-04:00,killzone; swiezy FVG byczy; trend up,SELL (6/11/9),-0.28950
