data_pl,data_utc,strona,strategia,wejscie,sl,tp,ryzyko,ryzyko_atr,impet,swieca,tv
03.08.2026 20:06,2026-08-03T18:06:31.302651+00:00,SHORT,Silver Bullet,4086.5,4095.98,4058.05,9.48,4.01,0.04,2026-08-03T13:50:00-04:00,SELL (1/15/10)
04.08.2026 09:21,2026-08-04T07:21:37.339918+00:00,LONG,Silver Bullet,4120.4,4109.8,4152.21,10.6,3.31,0.84,2026-08-04T03:05:00-04:00,STRONG_BUY (16/0/10)
05.08.2026 02:36,2026-08-05T00:36:31.354098+00:00,LONG,Silver Bullet,4132.9,4120.15,4171.16,12.75,4.39,0.95,2026-08-04T20:20:00-04:00,BUY (13/4/9)
05.08.2026 20:22,2026-08-05T18:22:20.091380+00:00,LONG,Silver Bullet,4316.3,4293.93,4383.4,22.37,4.93,0.91,2026-08-05T14:05:00-04:00,BUY (15/3/8)
06.08.2026 02:37,2026-08-06T00:37:36.987421+00:00,LONG,Silver Bullet,4342.0,4299.6,4469.19,42.4,5.44,0.95,2026-08-05T20:20:00-04:00,STRONG_BUY (16/1/9)
06.08.2026 09:28,2026-08-06T07:28:35.426462+00:00,LONG,Silver Bullet,4322.0,4305.84,4370.48,16.16,3.42,0.97,2026-08-06T03:10:00-04:00,BUY (12/5/9)
10.08.2026 09:02,2026-08-10T07:02:49.123323+00:00,LONG,Silver Bullet,4416.2,4388.96,4497.93,27.24,5.36,0.9,2026-08-10T02:45:00-04:00,BUY (14/5/7)
10.08.2026 20:20,2026-08-10T18:20:10.798671+00:00,LONG,Silver Bullet,4422.8,4406.91,4470.46,15.89,4.71,0.84,2026-08-10T14:05:00-04:00,BUY (13/3/10)
10.08.2026 20:46,2026-08-10T18:46:09.039179+00:00,LONG,Silver Bullet,4438.8,4414.64,4511.27,24.16,6.17,0.93,2026-08-10T14:30:00-04:00,BUY (14/6/6)
11.08.2026 02:24,2026-08-11T00:24:47.497598+00:00,LONG,Silver Bullet,4465.6,4452.26,4505.63,13.34,4.06,0.97,2026-08-10T20:05:00-04:00,STRONG_BUY (17/0/9)
12.08.2026 02:32,2026-08-12T00:32:50.232046+00:00,LONG,Silver Bullet,4439.2,4419.3,4498.9,19.9,4.74,1.0,2026-08-11T20:15:00-04:00,BUY (16/3/7)
12.08.2026 09:08,2026-08-12T07:08:17.362638+00:00,LONG,Silver Bullet,4460.9,4441.88,4517.95,19.02,4.49,0.88,2026-08-12T02:50:00-04:00,BUY (14/4/8)
